사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,우이신설선,4.19민주묘지,4490,4351,20231110
20231107,경원선,가능,7269,6996,20231110
20231107,3호선,가락시장,10355,10131,20231110
20231107,8호선,가락시장,9008,9829,20231110
20231107,7호선,가산디지털단지,51922,51875,20231110
20231107,경부선,가산디지털단지,19845,22588,20231110
20231107,9호선,가양,24810,24202,20231110
20231107,우이신설선,가오리,4945,4850,20231110
20231107,경의선,가좌,6815,6508,20231110
20231107,분당선,가천대,14348,15017,20231110
20231107,경춘선,가평,2272,2284,20231110
20231107,경인선,간석,6423,6043,20231110
20231107,경춘선,갈매,3511,2979,20231110
20231107,2호선,강남,86310,83282,20231110
20231107,분당선,강남구청,11007,12662,20231110
20231107,7호선,강남구청,18792,20723,20231110
20231107,5호선,강동,20053,19520,20231110
20231107,8호선,강동구청,11953,12406,20231110
20231107,경의선,강매,3827,3323,20231110
20231107,2호선,강변(동서울터미널),31437,29454,20231110
20231107,5호선,강일,6512,6110,20231110
20231107,경춘선,강촌,601,553,20231110
20231107,5호선,개롱,7332,7652,20231110
20231107,경인선,개봉,24772,24248,20231110
20231107,분당선,개포동,5414,5606,20231110
20231107,9호선,개화,3295,2187,20231110
20231107,5호선,개화산,6599,6171,20231110
20231107,5호선,거여,11550,11238,20231110
20231107,2호선,건대입구,37237,39447,20231110
20231107,7호선,건대입구,15095,15368,20231110
20231107,공항철도 1호선,검암,7546,7673,20231110
20231107,경의선,검암,1,0,20231110
20231107,경강선,경기광주,9131,8367,20231110
20231107,과천선,경마공원,2027,1970,20231110
20231107,3호선,경복궁(정부서울청사),26637,26320,20231110
20231107,3호선,경찰병원,8504,8532,20231110
20231107,공항철도 1호선,계양,14778,13807,20231110
20231107,5호선,고덕,11816,11409,20231110
20231107,6호선,고려대(종암),10761,10572,20231110
20231107,수인선,고색,6105,5716,20231110
20231107,3호선,고속터미널,44043,40421,20231110
20231107,7호선,고속터미널,16907,15119,20231110
20231107,9호선,고속터미널,14465,19090,20231110
20231107,안산선,고잔,10095,9462,20231110
20231107,경의선,곡산,755,800,20231110
20231107,경강선,곤지암,2949,2850,20231110
20231107,공항철도 1호선,공덕,3012,3968,20231110
20231107,5호선,공덕,16612,17346,20231110
20231107,경의선,공덕,4407,3737,20231110
20231107,6호선,공덕,21844,21228,20231110
20231107,7호선,공릉(서울과학기술대),13924,13756,20231110
20231107,9호선,공항시장,3238,3546,20231110
20231107,공항철도 1호선,공항화물청사,2454,2583,20231110
20231107,과천선,과천,7190,6478,20231110
20231107,경부선,관악,8353,7991,20231110
20231107,신림선,관악산(서울대),3138,3425,20231110
20231107,5호선,광나루(장신대),15617,14611,20231110
20231107,경부선,광명,3883,3328,20231110
20231107,7호선,광명사거리,22102,21786,20231110
20231107,경원선,광운대,10117,9781,20231110
20231107,5호선,광화문(세종문화회관),36797,38647,20231110
20231107,6호선,광흥창(서강),10907,10482,20231110
20231107,3호선,교대(법원.검찰청),18741,11503,20231110
20231107,2호선,교대(법원.검찰청),35358,42038,20231110
20231107,경부선,구로,19552,19872,20231110
20231107,2호선,구로디지털단지,63702,63128,20231110
20231107,분당선,구룡,3276,3077,20231110
20231107,중앙선,구리,14636,14723,20231110
20231107,9호선,구반포,1180,1243,20231110
20231107,6호선,구산,8907,6792,20231110
20231107,분당선,구성,5505,5763,20231110
20231107,2호선,구의(광진구청),27207,26853,20231110
20231107,경인선,구일,7744,7643,20231110
20231107,3호선,구파발,24392,23353,20231110
20231107,중앙선,국수,773,782,20231110
20231107,9호선,국회의사당,21309,21803,20231110
20231107,7호선,군자(능동),16701,13254,20231110
20231107,5호선,군자(능동),12498,13671,20231110
20231107,경부선,군포,8198,8066,20231110
20231107,경춘선,굴봉산,143,119,20231110
20231107,5호선,굽은다리(강동구민회관앞),10322,9884,20231110
20231107,경춘선,금곡,1682,1652,20231110
20231107,경의선,금릉,6007,5745,20231110
20231107,경부선,금정,31271,31753,20231110
20231107,경부선,금천구청,12884,12909,20231110
20231107,경의선,금촌,6886,6833,20231110
20231107,3호선,금호,8969,8526,20231110
20231107,분당선,기흥,12207,11620,20231110
20231107,5호선,길동,8675,9086,20231110
20231107,4호선,길음,25133,25276,20231110
20231107,경춘선,김유정,417,468,20231110
20231107,9호선,김포공항,7332,9749,20231110
20231107,서해선,김포공항,2883,3422,20231110
20231107,5호선,김포공항,9591,7420,20231110
20231107,공항철도 1호선,김포공항,10516,5991,20231110
20231107,5호선,까치산,31020,30104,20231110
20231107,2호선,낙성대(강감찬),29824,29461,20231110
20231107,7호선,남구로,17067,17878,20231110
20231107,수인선,남동인더스파크,2424,2795,20231110
20231107,3호선,남부터미널(예술의전당),31647,32331,20231110
20231107,7호선,남성,13028,12270,20231110
20231107,경부선,남영,11443,12254,20231110
20231107,8호선,남위례,7880,7856,20231110
20231107,경춘선,남춘천,2949,3077,20231110
20231107,4호선,남태령,1355,1186,20231110
20231107,8호선,남한산성입구(성남법원.검찰청),16417,15142,20231110
20231107,7호선,내방,16980,17260,20231110
20231107,9호선,노들,5264,4256,20231110
20231107,경부선,노량진,9018,9265,20231110
20231107,9호선,노량진,28275,27675,20231110
20231107,7호선,노원,21884,22552,20231110
20231107,4호선,노원,20762,23945,20231110
20231107,3호선,녹번,17845,16425,20231110
20231107,6호선,녹사평(용산구청),5351,5245,20231110
20231107,경원선,녹양,4754,4501,20231110
20231107,경원선,녹천,5063,4253,20231110
20231107,7호선,논현,20379,20858,20231110
20231107,경의선,능곡,5532,5051,20231110
20231107,8호선,단대오거리,13705,13132,20231110
20231107,수인선,달월,127,75,20231110
20231107,5호선,답십리,18135,16479,20231110
20231107,4호선,당고개,10461,9130,20231110
20231107,신림선,당곡,5008,5004,20231110
20231107,9호선,당산,21303,21467,20231110
20231107,2호선,당산,20208,23849,20231110
20231107,경부선,당정,7491,7061,20231110
20231107,일산선,대곡,3301,2419,20231110
20231107,과천선,대공원,3646,3804,20231110
20231107,2호선,대림(구로구청),26150,26952,20231110
20231107,7호선,대림(구로구청),9314,9247,20231110
20231107,분당선,대모산입구,7109,6646,20231110
20231107,신림선,대방,2998,2388,20231110
20231107,경부선,대방,11920,12977,20231110
20231107,경춘선,대성리,545,494,20231110
20231107,안산선,대야미,5503,4891,20231110
20231107,3호선,대청,12320,11526,20231110
20231107,3호선,대치,13173,13343,20231110
20231107,일산선,대화,14957,11382,20231110
20231107,6호선,대흥(서강대앞),10981,11449,20231110
20231107,경원선,덕계,5542,5032,20231110
20231107,중앙선,덕소,5778,5797,20231110
20231107,경원선,덕정,7144,6911,20231110
20231107,분당선,도곡,8408,8460,20231110
20231107,3호선,도곡,5706,5475,20231110
20231107,중앙선,도농,12900,11689,20231110
20231107,2호선,도림천,1380,1495,20231110
20231107,경원선,도봉,6440,6232,20231110
20231107,7호선,도봉산,10695,12230,20231110
20231107,경원선,도봉산,8134,5237,20231110
20231107,중앙선,도심,2824,2214,20231110
20231107,경인선,도원,3429,3473,20231110
20231107,경인선,도화,4539,4105,20231110
20231107,3호선,독립문,8044,8414,20231110
20231107,6호선,독바위,3030,3227,20231110
20231107,경부선,독산,20636,21315,20231110
20231107,6호선,돌곶이,11165,10286,20231110
20231107,1호선,동대문,11783,11316,20231110
20231107,4호선,동대문,22022,22948,20231110
20231107,5호선,동대문역사문화공원(DDP),3579,4223,20231110
20231107,2호선,동대문역사문화공원(DDP),14985,16925,20231110
20231107,4호선,동대문역사문화공원(DDP),19253,17126,20231110
20231107,3호선,동대입구,13046,14729,20231110
20231107,경원선,동두천,2710,2950,20231110
20231107,경원선,동두천중앙,3286,3136,20231110
20231107,1호선,동묘앞,9108,9394,20231110
20231107,6호선,동묘앞,8496,8760,20231110
20231107,경인선,동암,16832,16742,20231110
20231107,경인선,동인천,14845,13987,20231110
20231107,4호선,동작(현충원),1489,1685,20231110
20231107,9호선,동작(현충원),1950,1557,20231110
20231107,경부선,두정,8935,10023,20231110
20231107,5호선,둔촌동,9671,9644,20231110
20231107,9호선2~3단계,둔촌오륜,1218,1208,20231110
20231107,9호선,등촌,13608,12961,20231110
20231107,경의선,디지털미디어시티,3164,2904,20231110
20231107,공항철도 1호선,디지털미디어시티,16450,15479,20231110
20231107,6호선,디지털미디어시티,17022,18794,20231110
20231107,2호선,뚝섬,25733,27332,20231110
20231107,7호선,뚝섬유원지,8327,8258,20231110
20231107,5호선,마곡,13456,13518,20231110
20231107,공항철도 1호선,마곡나루(서울식물원),13342,12748,20231110
20231107,9호선,마곡나루(서울식물원),14889,14683,20231110
20231107,일산선,마두,8481,8735,20231110
20231107,7호선,마들,14839,13784,20231110
20231107,경춘선,마석,4198,4052,20231110
20231107,5호선,마장,6579,6309,20231110
20231107,5호선,마천,8595,7818,20231110
20231107,5호선,마포,16632,16886,20231110
20231107,6호선,마포구청,16513,14695,20231110
20231107,중앙선,망우,8399,8138,20231110
20231107,6호선,망원,15060,15993,20231110
20231107,경원선,망월사,10343,10503,20231110
20231107,분당선,망포,17322,16700,20231110
20231107,분당선,매교,5761,5657,20231110
20231107,3호선,매봉,14474,13765,20231110
20231107,분당선,매탄권선,6121,5876,20231110
20231107,7호선,먹골,11300,11255,20231110
20231107,7호선,면목,17670,17283,20231110
20231107,4호선,명동,35351,37619,20231110
20231107,5호선,명일,9920,10240,20231110
20231107,경부선,명학,11329,11207,20231110
20231107,8호선,모란,4867,3702,20231110
20231107,분당선,모란,21072,21531,20231110
20231107,5호선,목동,18716,20005,20231110
20231107,8호선,몽촌토성(평화의문),7394,7418,20231110
20231107,3호선,무악재,4983,4959,20231110
20231107,2호선,문래,24994,25442,20231110
20231107,경의선,문산,5453,5318,20231110
20231107,8호선,문정,24585,25735,20231110
20231107,분당선,미금,16298,17584,20231110
20231107,5호선,미사,18952,19223,20231110
20231107,4호선,미아(서울사이버대학),17410,16988,20231110
20231107,4호선,미아사거리,29063,28885,20231110
20231107,안산선,반월,4721,4614,20231110
20231107,7호선,반포,6796,6697,20231110
20231107,5호선,발산,24513,25096,20231110
20231107,2호선,방배,21192,21825,20231110
20231107,5호선,방이,8116,8389,20231110
20231107,경원선,방학,10855,10741,20231110
20231107,5호선,방화,7647,7348,20231110
20231107,장항선,배방,1306,1202,20231110
20231107,경의선,백마,8344,8051,20231110
20231107,일산선,백석,10915,10982,20231110
20231107,경춘선,백양리,70,71,20231110
20231107,경인선,백운,8212,7966,20231110
20231107,6호선,버티고개,2495,2466,20231110
20231107,과천선,범계,28855,28914,20231110
20231107,경춘선,별내,3556,3390,20231110
20231107,경부선,병점,17982,18034,20231110
20231107,7호선,보라매,7448,7605,20231110
20231107,신림선,보라매,4331,4077,20231110
20231107,신림선,보라매공원,2376,2585,20231110
20231107,신림선,보라매병원,8373,8846,20231110
20231107,6호선,보문,8834,8371,20231110
20231107,우이신설선,보문,1815,1841,20231110
20231107,경원선,보산,1521,1446,20231110
20231107,분당선,보정,3035,2735,20231110
20231107,8호선,복정,11017,9204,20231110
20231107,분당선,복정,1,0,20231110
20231107,장항선,봉명,1451,1406,20231110
20231107,9호선2~3단계,봉은사,21981,22208,20231110
20231107,2호선,봉천,26619,24959,20231110
20231107,6호선,봉화산(서울의료원),10203,9547,20231110
20231107,경인선,부개,9922,9268,20231110
20231107,경강선,부발,2373,2313,20231110
20231107,경인선,부천,33697,33518,20231110
20231107,서해선,부천종합운동장,2763,2200,20231110
20231107,경인선,부평,29289,30813,20231110
20231107,우이신설선,북한산보국문,7267,7007,20231110
20231107,우이신설선,북한산우이,3474,3062,20231110
20231107,6호선,불광,4770,4807,20231110
20231107,3호선,불광,18128,19312,20231110
20231107,7호선,사가정,18134,18424,20231110
20231107,4호선,사당,28521,24849,20231110
20231107,2호선,사당,42090,46067,20231110
20231107,경춘선,사릉,2580,2497,20231110
20231107,수인선,사리,5860,5001,20231110
20231107,9호선,사평,4387,4244,20231110
20231107,안산선,산본,17643,18847,20231110
20231107,8호선,산성,5924,6148,20231110
20231107,4호선,삼각지,6479,7120,20231110
20231107,6호선,삼각지,8065,7191,20231110
20231107,경강선,삼동,2825,2582,20231110
20231107,2호선,삼성(무역센터),60028,60374,20231110
20231107,9호선2~3단계,삼성중앙,9039,9261,20231110
20231107,일산선,삼송,21139,20596,20231110
20231107,우이신설선,삼양,2273,2350,20231110
20231107,우이신설선,삼양사거리,2830,2899,20231110
20231107,9호선2~3단계,삼전,8500,8040,20231110
20231107,분당선,상갈,6187,5927,20231110
20231107,4호선,상계,21614,20100,20231110
20231107,7호선,상도,14139,14061,20231110
20231107,안산선,상록수,17408,17763,20231110
20231107,중앙선,상봉(시외버스터미널),6390,6336,20231110
20231107,7호선,상봉(시외버스터미널),18631,17619,20231110
20231107,6호선,상수,10872,12058,20231110
20231107,2호선,상왕십리,16188,15971,20231110
20231107,6호선,상월곡(한국과학기술연구원),7730,7320,20231110
20231107,5호선,상일동,16238,15410,20231110
20231107,경춘선,상천,305,304,20231110
20231107,6호선,새절(신사),14729,13703,20231110
20231107,9호선,샛강,7330,7435,20231110
20231107,신림선,샛강,3332,3825,20231110
20231107,경의선,서강대,2707,2601,20231110
20231107,5호선,서대문,24163,24371,20231110
20231107,경부선,서동탄,1611,1296,20231110
20231107,경원선,서빙고,2482,2385,20231110
20231107,신림선,서울대벤처타운,10139,9527,20231110
20231107,2호선,서울대입구(관악구청),50909,49620,20231110
20231107,분당선,서울숲,14017,14438,20231110
20231107,공항철도 1호선,서울역,12155,10617,20231110
20231107,1호선,서울역,56566,53233,20231110
20231107,경부선,서울역,7869,2592,20231110
20231107,경의선,서울역,5505,6820,20231110
20231107,4호선,서울역,14200,21376,20231110
20231107,신림선,서울지방병무청,3356,3589,20231110
20231107,신림선,서원,3761,3301,20231110
20231107,경부선,서정리,9507,8916,20231110
20231107,2호선,서초,25195,24293,20231110
20231107,분당선,서현,25753,26387,20231110
20231107,6호선,석계,14088,14777,20231110
20231107,경원선,석계,8590,9769,20231110
20231107,경부선,석수,10281,9370,20231110
20231107,9호선2~3단계,석촌,10016,9180,20231110
20231107,8호선,석촌,8790,9891,20231110
